paper_id,source,pmid,pmcid,doi,title,abstract,publication_date,journal,authors,article_type,is_open_access
MED-37151075,MED,37151075,,10.2174/1574886318666230505144014,"Paracetamol (Acetaminophen)-associated SJS, TEN, AGEP, and DRESS Syndromes - A Narrative Review.","Paracetamol (Acetaminophen) is a very common OTC drug that is found in more than 200 OTC products sold as pain, cough and cold remedies. Paracetamol is commonly used as an antipyretic to reduce fever and as an alternative to Non-steroidal anti-inflammatory drugs (NSAIDs) that are contraindicated in certain patients to relieve mild-moderate pain. This review article focuses on SJS, TEN, SJS/TEN overlap, AGEP, and DRESS syndromes associated with the use of paracetamol or paracetamol-containing products. To find published articles relevant to paracetamol-associated SJS, TEN, AGEP, and DRESS, we searched the online databases Medline/Pubmed/PMC, Google Scholar, Science Direct, Ebsco, Scopus, Web of Science, Embase, and reference lists using keywords like Stevens-Johnson Syndrome, Acetaminophen, Paracetamol, Toxic epidermal necrolysis, Acute generalized exanthematous pustulosis, Drug reaction with eosinophilia and systemic symptoms. The paracetamol-associated SJS, TEN, SJS/TEN overlap, AGEP, and DRESS syndromes have been identified by a number of publications. When evaluating drug-induced hypersensitivity skin reactions, healthcare professionals, including prescribers, pharmacists, and others, should be aware of this rare risk. Patients who exhibit signs and symptoms of paracetamol-associated hypersensitivity should be referred to physicians by pharmacists for further treatment. At the first sign of a skin rash or other hypersensitivity reaction while taking paracetamol, patients should be told to stop taking it and see a doctor right away.",2024,Current drug safety,"Naina Mohamed Pakkir Maideen, Ibrahim Ramadan Barakat, AbduRazak Hassan Jumale",Journal Article,Y
MED-7753607,MED,7753607,,,[Paracetamol poisoning].,"Administration of paracetamol (acetaminophen) has analgetic and antipyretic effect. After trauma paracetamol has an anti-inflammatory activity. It was presumed that paracetamol in therapeutic doses had fewer and more acceptable side-effects than other analgetic drugs such as acetylsalicylic acid and NSAID-drugs. However, in toxic concentrations, paracetamol is more life-threatening. The toxic effects of paracetamol most often occur in the liver and kidneys. Phosphate and lactate turn-over can also be impaired. Paracetamol poisoning can induce temporary liver disfunction or even irreversible liver failure with liver transplantation as the only therapeutic possibility. Chronic alcoholics are especially at risk, as liver damage may occur following paracetamol even in recommended doses. When intoxication with paracetamol is presumed, administration of N-acetylcysteine is vital. N-acetylcysteine therapy should be initiated not later than 15 hours after paracetamol intake. Moreover, the antitoxic effect has been observed even when N-acetylcysteine therapy is initiated 24-36 hours after presumed paracetamol intake. Measures of preventing further absorption of paracetamol from the gastrointestinal tract should be taken. Activated charcoal should be given if less than two hours have passed since paracetamol intake. Between two and four hours following paracetamol intake gastric lavage should be performed. During the last 10 years the incidence of paracetamol self-poisoning has increased, but death following paracetamol poisoning is relatively constant at around nine per year in Denmark. It is suggested that the incidence of serious cases of paracetamol poisoning could be reduced by simple measures. Special attention should be paid to the risk-group of chronic alcoholics.",1995,Nordisk medicin,"B B Lystbaek, L B Svendsen, L Heslet",Journal Article,Y
MED-32878493,MED,32878493,,10.1080/17512433.2020.1817738,Paracetamol for low back pain: the state of the research field.,"Paracetamol is one of the most frequently used analgesics for people with low back pain, but despite its frequent use there is still debate regarding its efficacy and safety for this indication. We describe the origin of paracetamol and its proposed mechanisms of action. We focus in on low back pain and describe the evidence it has on the efficacy of paracetamol (taken by patients orally) and current insights on its side-effects. When searching for relevant publications we focused mainly on recent Cochrane reviews and published RCTs. We found that there is increasing evidence that shows paracetamol is not more effective than placebo in patients with acute low back pain. Concerning patients with subacute and chronic back pain, the evidence for or against the efficacy of paracetamol vs placebo is lacking and would need more research. We argue that we still need better evidence on the efficacy of paracetamol for acute and chronic back pain. Until that evidence becomes available paracetamol should still be considered as an option for patients with back pain. However, we suggest that a strategy focusing on non-pharmacological management as the first treatment option in low back pain may be equally effective with less side effects.",2020,Expert review of clinical pharmacology,"Bart Koes, Marco Schreijenberg, Alexander Tkachev",Journal Article,Y
MED-19192939,MED,19192939,,10.2165/00003495-200969010-00007,Intravenous paracetamol (acetaminophen).,"Intravenous paracetamol (rINN)/intravenous acetaminophen (USAN) is an analgesic and antipyretic agent, recommended worldwide as a first-line agent for the treatment of pain and fever in adults and children. In double-blind clinical trials, single or multiple doses of intravenous paracetamol 1 g generally provided significantly better analgesic efficacy than placebo treatment (as determined by primary efficacy endpoints) in adult patients who had undergone dental, orthopaedic or gynaecological surgery. Furthermore, where evaluated, intravenous paracetamol 1 g generally showed similar analgesic efficacy to a bioequivalent dose of propacetamol, and a reduced need for opioid rescue medication. In paediatric surgical patients, recommended doses of intravenous paracetamol 15 mg/kg were not significantly different from propacetamol 30 mg/kg for the treatment of pain, and showed equivocal analgesic efficacy compared with intramuscular pethidine 1 mg/kg in several randomized, active comparator-controlled studies. In a randomized, noninferiority study in paediatric patients with an infection-induced fever, intravenous paracetamol 15 mg/kg treatment was shown to be no less effective than propacetamol 30 mg/kg in terms of antipyretic efficacy. Intravenous paracetamol was well tolerated in clinical trials, having a tolerability profile similar to placebo. Additionally, adverse reactions emerging from the use of the intravenous formulation of paracetamol are extremely rare (<1/10 000). [table: see text].",2009,Drugs,"Sean T Duggan, Lesley J Scott",Journal Article,Y
MED-15733027,MED,15733027,,10.2165/00002018-200528030-00004,Tolerability of paracetamol.,"The excellent tolerability of therapeutic doses of paracetamol (acetaminophen) is a major factor in the very wide use of the drug. The major problem in the use of paracetamol is its hepatotoxicity after an overdose. Hepatotoxicity has also been reported after therapeutic doses, but critical analysis indicates that most patients with alleged toxicity from therapeutic doses have taken overdoses. Importantly, prospective studies indicate that therapeutic doses of paracetamol are an unlikely cause of hepatotoxicity in patients who ingest moderate to large amounts of alcohol. Controlled clinical trials have found that paracetamol is very well tolerated by the gastrointestinal tract. While variable results have been found in case control studies, most studies have shown no change or a small increase in the relative risk of perforations, ulcer or bleeding in the upper gastrointestinal tract. However, associations between the use of paracetamol and gastrointestinal toxicity, as well as with chronic renal disease and asthma, are very likely to reflect biases in some case control studies. In particular, such biases may be caused by the perceived high tolerability of paracetamol in these diseases. The consequent use of paracetamol in these diseases states then leads to an apparent association between paracetamol and the disease. Despite metabolism of paracetamol to reactive compounds, hypersensitivity reactions are rare, although urticaria occurs in occasional patients. Paracetamol appears to be well tolerated during pregnancy although prospective studies are required.",2005,Drug safety,"Garry G Graham, Kieran F Scott, Richard O Day",Journal Article,Y
MED-28752572,MED,28752572,,10.1111/and.12874,Effect of paracetamol on semen quality.,"Several published studies, both direct and indirect, have connected paracetamol, also named acetaminophen, a commonly used over-the-counter analgesic and antipyretic medication, with semen quality and male infertility, although as yet this connection is unclear. This review addresses the effect of paracetamol on semen quality and hence on male factor infertility. We searched the MEDLINE database from January 1980 through January 2017 for English-language articles using the key words ""paracetamol"" and ""acetaminophen"" versus ""sperm."" References from articles were used only if relevant. In summary, paracetamol, when used at high doses, appears to change semen quality, particularly sperm morphology, and hence its fertilising ability. Such effect of paracetamol on semen quality may occur by suppressing testosterone synthesis, inducing oxidative stress, provoking apoptosis of spermatocytes, reducing nitric oxide production and inhibiting prostaglandin synthesis. Further research, particularly clinical research, will be very important to confirm these effects.",2018,Andrologia,S A Banihani,Journal Article,Y
MED-10759684,MED,10759684,,10.1046/j.1365-2125.2000.00167.x,"Paracetamol, alcohol and the liver.","It is claimed that chronic alcoholics are at increased risk of paracetamol (acetaminophen) hepatotoxicity not only following overdosage but also with its therapeutic use. Increased susceptibility is supposed to be due to induction of liver microsomal enzymes by ethanol with increased formation of the toxic metabolite of paracetamol. However, the clinical evidence in support of these claims is anecdotal and the same liver damage after overdosage occurs in patients who are not chronic alcoholics. Many alcoholic patients reported to have liver damage after taking paracetamol with 'therapeutic intent' had clearly taken substantial overdoses. No proper clinical studies have been carried out to investigate the alleged paracetamol-alcohol interaction and acute liver damage has never been produced by therapeutic doses of paracetamol given as a challenge to a chronic alcoholic. The paracetamol-alcohol interaction is complex; acute and chronic ethanol have opposite effects. In animals, chronic ethanol causes induction of hepatic microsomal enzymes and increases paracetamol hepatotoxicity as expected (ethanol primarily induces CYP2E1 and this isoform is important in the oxidative metabolism of paracetamol). However, in man, chronic alcohol ingestion causes only modest (about twofold) and short-lived induction of CYP2E1, and there is no corresponding increase (as claimed) in the toxic metabolic activation of paracetamol. The paracetamol-ethanol interaction is not specific for any one isoform of cytochrome P450, and it seems that isoenzymes other than CYP2E1 are primarily responsible for the oxidative metabolism of paracetamol in man. Acute ethanol inhibits the microsomal oxidation of paracetamol both in animals and man. This protects against liver damage in animals and there is evidence that it also does so in man. The protective effect disappears when ethanol is eliminated and the relative timing of ethanol and paracetamol intake is critical. In many of the reports where it is alleged that paracetamol hepatotoxicity was enhanced in chronic alcoholics, the reverse should have been the case because alcohol was actually taken at the same time as the paracetamol. Chronic alcoholics are likely to be most vulnerable to the toxic effects of paracetamol during the first few days of withdrawal but maximum therapeutic doses given at this time have no adverse effect on liver function tests. Although the possibility remains that chronic consumption of alcohol does increase the risk of paracetamol hepatotoxicity in man (perhaps by impairing glutathione synthesis), there is insufficient evidence to support the alleged major toxic interaction. It is astonishing that clinicians and others have unquestion-ingly accepted this supposed interaction in man for so long with such scant regard for scientific objectivity.",2000,British journal of clinical pharmacology,L F Prescott,Journal Article,Y
MED-34102027,MED,34102027,,10.24953/sturkjped.2016.05.016,A narrative review of paracetamol-induced hypotension: Keeping the patient safe.,"To understand the prevalence and epidemiology of paracetamol-induced hypotension and clinical implications for contemporaneous practice. Narrative review. In May and June 2020, an open-date literature search of English publications indexed in ProQuest, PubMed, and EBSCO was conducted with the search terms 'acetaminophen' and 'hypotension' and related search combinations ('paracetamol', 'propacetamol', 'low blood pressure', 'fever', 'sepsis', and 'shock') to identify peer-reviewed publications of blood pressure changes after paracetamol administration in humans. A pattern of blood pressure reduction following the administration of paracetamol is demonstrated in the 27 studies included in this review. Haemodynamic intervention often followed persistent blood pressure reduction, and was greatest in febrile critically ill patients who received parenteral paracetamol.",2022,Nursing open,Tricia L Young,Journal Article,Y
MED-12517240,MED,12517240,,10.1517/14656566.4.1.13,Paracetamol and asthma.,"Paracetamol (acetaminophen) is one of the over-the-counter analgesics that is used frequently for the self-management of some of the common disorders. There seems to be two types of relations between paracetamol and asthma - paracetamol intolerance leading to bronchospasm in analgesic-induced asthmatics; and the relation between asthma and the amount and frequency of consumption of paracetamol. Paracetamol is generally recommended as one of the safer analgesics in both analgesic tolerant and intolerant asthmatics, without the fear of severe bronchospasm that aspirin and other non-steroidal anti-inflammatory drugs can induce in these patients. However, Paracetamol is reported to cross-react with aspirin at a rate of approximately 20-30% in a dose-dependent way. Therefore, it should not be recommended to analgesic intolerant asthmatics, without performing oral provocation tests to prove its safety. The possible association between the amount and frequency of paracetamol consumption and the prevalence and degree of asthma as suggested by some of the recent surveys, needs to be investigated further.",2003,Expert opinion on pharmacotherapy,"Gül Karakaya, A Fuat Kalyoncu",Journal Article,Y
MED-24374658,MED,24374658,,10.1007/s00431-013-2239-5,Paracetamol: a focus for the general pediatrician.,"Paracetamol (acetaminophen) is one of the most popular and widely used drugs for the treatment of pain and fever in children. This drug has multiple mechanisms of action, but its pharmacodynamic is still not well known. The central nervous system is the main site of action and it mirrors the paracetamol effect compartment. The recommended dosages and routes of administration should be different whether paracetamol is used for the treatment of pain or fever. For example, the rectal route, while being efficacious for the treatment of fever, should be avoided in pain management. Paracetamol is a safe drug, but some clinical conditions and concomitant drugs, which are frequent in clinical practice, may increase the risk of paracetamol toxicity. Therefore, it is important to optimize its administration to avoid overdoses and maximize its effect. The principal mediator of the paracetamol toxicity is the N-acetyl-p-benzo-quinone imine (NAPQI), a toxic product of the paracetamol metabolism, which could bind cysteine groups on proteins forming paracetamol-protein adduct in the liver. Although frequently prescribed, the concept of ""effect compartment concentration"" and the possible co-factors that could cause toxicity at recommended doses are not familiar to all pediatricians and general practitioners. We reviewed the literature concerning paracetamol mechanisms of action, we highlighted some relevant pharmacodynamic concepts for clinical practice, and we summarized the possible risk factors for toxicity at therapeutic dosages.",2014,European journal of pediatrics,"Pierluigi Marzuillo, Stefano Guarino, Egidio Barbi",Journal Article,Y
MED-12706999,MED,12706999,,10.1016/S0165-6147(03)00053-1,Management of paracetamol poisoning.,"Paracetamol is the most common substance involved in self-poisoning in the UK. The main advances made over the past five years in the management of early paracetamol poisoning, identification of risk factors for paracetamol poisoning, understanding of the mechanisms and management of late paracetamol poisoning and issues concerning the prevention of paracetamol poisoning are discussed.",2003,Trends in pharmacological sciences,"Paul I Dargan, Alison L Jones",Journal Article,Y
MED-22039164,MED,22039164,,10.1136/ard.2011.200087,Paracetamol and cyclooxygenase inhibition: is there a cause for concern?,"Paracetamol is recommended as first-line therapy for pain associated with osteoarthrosis and is one of the most widely used over-the-counter analgesic drugs worldwide. Despite its extensive use, its mode of action is still unclear. Although it is commonly stated that paracetamol acts centrally, recent data imply an inhibitory effect on the activity of peripheral prostaglandin-synthesising cyclooxygenase enzymes. In this context paracetamol has been suggested to inhibit both isoforms in tissues with low levels of peroxide by reducing the higher oxidation state of cyclooxygenase enzymes. Two recent studies have also demonstrated a preferential cyclooxygenase 2 (COX-2) inhibition by paracetamol under different clinically relevant conditions. This review attempts to relate data on paracetamol's inhibitory action on peripheral cyclooxygenase enzymes to the published literature on its anti-inflammatory action and its hitherto underestimated side-effects elicited by cyclooxygenase inhibition. As a result, a pronounced COX-2 inhibition by paracetamol is expected to occur in the endothelium, possibly explaining its cardiovascular risk in epidemiological studies. A careful analysis of paracetamol's cardiovascular side-effects in randomised studies is therefore strongly advised. On the basis of epidemiological data showing an increased gastrointestinal risk of paracetamol at high doses or when co-administered with classic cyclooxygenase inhibitors, paracetamol's long-term gastrointestinal impact should be investigated in randomised trials. Finally, paracetamol's fast elimination and consequently short-lived COX-2 inhibition, which requires repetitive dosing, should be definitely considered to avoid overdosage leading to hepatotoxicity.",2012,Annals of the rheumatic diseases,"Burkhard Hinz, Kay Brune",Journal Article,Y
MED-8127925,MED,8127925,,10.1016/0163-7258(93)90023-7,Paracetamol (acetaminophen) poisoning.,"Paracetamol poisoning caused by intentional overdose remains a common cause of morbidity. In this article the mechanism of toxicity and the clinical effects and treatment of poisoning, including specific antidotal therapy, are reviewed. Areas for further research directed at reducing morbidity and mortality from paracetamol poisoning are considered.",1993,Pharmacology & therapeutics,S H Thomas,Journal Article,Y
MED-21108564,MED,21108564,,10.3109/03602532.2010.527984,Paracetamol metabolism and related genetic differences.,"Paracetamol (acetaminophen) is a worldwide used analgesic and antipyretic drug. It is metabolised via several metabolic pathways, including glucuronidation, sulfation, oxidation, hydroxylation, and deacetylation: Hepatic and other organ damage may occur, especially in overdose, because of the accumulation of a toxic metabolite. Intersubject and ethnic differences have been reported in paracetamol metabolism activation, suggesting possible differences in susceptibility to toxicity and in pain alleviation, linked to different pharmacogenetic profiles. This article aims at reviewing, in the literature, the links between paracetamol metabolism and enzyme genotypes in the context of toxic side effects and efficacy of paracetamol in therapeutics.",2011,Drug metabolism reviews,"Lizi Zhao, Gisèle Pickering",Journal Article,Y
MED-41182883,MED,41182883,,10.1097/FTD.0000000000001403,Treatment of Acute Paracetamol Overdose: A Comprehensive Overview.,"Given its widespread availability, paracetamol (acetaminophen and p-aminophenol) is frequently ingested in overdose, making paracetamol poisoning one of the most common drug-induced poisonings worldwide. A comprehensive overview of recent developments in the treatment of acute paracetamol poisoning is presented, with the aim of improving clinicians' understanding of the diagnosis and treatment of patients with paracetamol poisoning. Paracetamol's pharmacokinetics and toxicokinetics are examined, along with its toxicity (doses and early concentrations); massive overdose or high-risk ingestion; treatment of specific populations such as children, pregnant women, and patients with obesity; prognostic markers of paracetamol toxicity; gastrointestinal decontamination; renal replacement therapy; antidotal therapy with acetylcysteine dosing regimens; adverse reactions; and acetylcysteine alternatives or adjunctive therapies. Although paracetamol poisoning seems straightforward in terms of risk assessment and treatment, the developments in its diagnosis and treatment reveal that this field is constantly evolving. Multiple factors must be considered in patients with paracetamol poisoning, making its treatment challenging. This comprehensive overview aims to address these challenges.",2026,Therapeutic drug monitoring,"Arjen Koppen, Paola Mian, Marieke G G Sturkenboom",Journal Article,Y
MED-15662293,MED,15662293,,10.1097/00045391-200501000-00009,Drug interactions with paracetamol.,"Paracetamol (acetaminophen) is one of the most commonly used analgesic antipyretic drugs worldwide, and it is widely available by prescription and over the counter (OTC). Fortunately, few clinically significant drug interactions have been documented. There is probable potentiation of hepatotoxicity following an overdose from the paracetamol metabolite NAPQI by enzyme-inducing drugs. There is considerable controversy regarding the possible interaction with warfarin in its potential to increase its anticoagulant effects because of discrepancies between observational studies and those in healthy volunteers. Otherwise, no serious adverse drug interactions with therapeutic doses of paracetamol have been confirmed in humans. Because the absorption of paracetamol is so dependent on gastric emptying, other drugs that alter gastric emptying can change its pharmacokinetics; but this would not cause serious adverse effects. Although animal experiments have demonstrated that many compounds can modify paracetamol hepatotoxicity, these are unlikely to be important at therapeutic doses.",2005,American journal of therapeutics,"Maurice J Toes, Alison L Jones, Laurie Prescott",Journal Article,Y
MED-40789442,MED,40789442,,10.1016/j.taap.2025.117501,Paracetamol exposure induces rapid alterations in the human plasma proteome.,"Paracetamol is a widely used analgesic and antipyretic, yet its effect on human plasma proteome remains poorly characterized. This study aims to evaluate the impact of a single therapeutic dose of paracetamol on the plasma proteome, potentially providing insights into its pharmacological and toxicological pathways. We conducted a cross-sectional study with 28 age-matched fasting subjects (14 controls and 14 treated with paracetamol). Anthropometric measurements and laboratory parameters were assessed, and blood samples were collected. An untargeted label-free LC-MS/MS approach, bioinformatics, and network pathway analysis were employed to examine changes in the proteomic profile. Proteomic analyses revealed significant differences in plasma protein abundance between the groups. A total of 78 dysregulated proteins were identified, with 23 upregulated and 55 downregulated in the paracetamol group. Transthyretin and vascular cell adhesion protein 1 were upregulated, while doublecortin domain-containing protein 1 and alpha-1-acid glycoprotein 1 were downregulated. These proteins were associated with key pathways, including ligand binding, Fc gamma receptor-dependent phagocytosis, and IL-12 signaling. This proteomic analysis lays the groundwork for further studies to elucidate the mechanisms underlying paracetamol's therapeutic and toxicological effects by highlighting significant dysregulated proteins and related pathways.",2025,Toxicology and applied pharmacology,"Mohammed A Assiri, Faris Almutairi, Abdullah Alsulais, Mohammed F Alhamdan",Journal Article,Y
MED-17227290,MED,17227290,,10.1111/j.1527-3458.2006.00250.x,Paracetamol: new vistas of an old drug.,"Paracetamol (acetaminophen) is one of the most popular and widely used drugs for the treatment of pain and fever. It occupies a unique position among analgesic drugs. Unlike NSAIDs it is almost unanimously considered to have no antiinflammatory activity and does not produce gastrointestinal damage or untoward cardiorenal effects. Unlike opiates it is almost ineffective in intense pain and has no depressant effect on respiration. Although paracetamol has been used clinically for more than a century, its mode of action has been a mystery until about one year ago, when two independent groups (Zygmunt and colleagues and Bertolini and colleagues) produced experimental data unequivocally demonstrating that the analgesic effect of paracetamol is due to the indirect activation of cannabinoid CB(1) receptors. In brain and spinal cord, paracetamol, following deacetylation to its primary amine (p-aminophenol), is conjugated with arachidonic acid to form N-arachidonoylphenolamine, a compound already known (AM404) as an endogenous cannabinoid. The involved enzyme is fatty acid amide hydrolase. N-arachidonoylphenolamine is an agonist at TRPV1 receptors and an inhibitor of cellular anandamide uptake, which leads to increased levels of endogenous cannabinoids; moreover, it inhibits cyclooxygenases in the brain, albeit at concentrations that are probably not attainable with analgesic doses of paracetamol. CB(1) receptor antagonist, at a dose level that completely prevents the analgesic activity of a selective CB(1) receptor agonist, completely prevents the analgesic activity of paracetamol. Thus, paracetamol acts as a pro-drug, the active one being a cannabinoid. These findings finally explain the mechanism of action of paracetamol and the peculiarity of its effects, including the behavioral ones. Curiously, just when the first CB(1) agonists are being introduced for pain treatment, it comes out that an indirect cannabino-mimetic had been extensively used (and sometimes overused) for more than a century.",2006,CNS drug reviews,"Alfio Bertolini, Anna Ferrari, Alessandra Ottani, Simona Guerzoni",Journal Article,Y
MED-11152028,MED,11152028,,10.1034/j.1399-6576.2001.450104.x,Treatment with paracetamol in infants.,"Paracetamol (N-acetyl-p-amino-phenol) or acetaminophen has become the most widely used analgesic and antipyretic in children. However, there is a wide discrepancy between the extent to which paracetamol is used and the limited available pharmacological data in small infants. The purpose of this article is to present a review of the current literature regarding the use of paracetamol in neonates and infants with a particular emphasis on pharmacological issues. A MEDLINE search (up to March 2000) was conducted to identify relevant English-language publications using paracetamol, children, infants and neonates as search terms. Additional studies were identified from bibliographies of the reviewed literature. Pharmacological studies on paracetamol in infants are few. Most studies have focused on the administration of one single paracetamol dose, and the problem of cumulative toxicity with repeated dosing has not been addressed. Plasma paracetamol concentration should be 10-20 mg ml(-1) to achieve antipyretic and analgesic effects. The bioavailability of the different formulations and routes of administration vary with age. Rectal absorption is slower and more erratic than the oral; however, in the very young, rectal bioavailability is higher than in older patients. Volume of distribution seems to be age-independent, whereas clearance is reduced in neonates and particularly in preterm babies. Neonates and infants are capable of forming the reactive intermediate metabolite that causes hepatocellular damage, particularly after multiple doses. They have an immature glucuronide conjugation system, but the rate constant for the sulphation metabolic pathway is larger than in older children, and this is the most important route of metabolism. The pharmacokinetics and pharmacodynamics of paracetamol differ substantially in neonates and infants from those in older children and adults; hence, dosing should be adjusted accordingly.",2001,Acta anaesthesiologica Scandinavica,"A Arana, N S Morton, T G Hansen",Journal Article,Y
MED-14974037,MED,14974037,,10.1002/14651858.CD003789.pub2,Paracetamol versus nonsteroidal anti-inflammatory drugs for rheumatoid arthritis.,"Nonsteroidal anti-inflammatory drugs (NSAIDs) are usually preferred for simple analgesics such as paracetamol for rheumatoid arthritis. It is not clear, however, whether the trade-offs between benefits and harms of NSAIDs are preferable to those of paracetamol (paracetamol is also called acetaminophen). To compare the benefits and harms of paracetamol with NSAIDs in patients with rheumatoid arthritis. Medline Silverplatter, Embase databases were searched up until Sept 2002. Reference lists of identified articles were also searched. Randomised double-blind studies comparing paracetamol with an NSAID. Decisions on inclusion of trials and data extraction were performed by the two authors independently. Four cross-over studies, published between 1968 and 1982, involving 121 patients, and four different NSAIDs were included. The generation of the allocation sequence and the use of methods to conceal the allocation were not described in any of the studies. The studies were double-blind but it was not clear whether the blinding was effective. Methods for collecting adverse effects were not described. The NSAIDs were preferred more often than paracetamol by the patients or the investigator. In the largest trial, 20 out of 54 patients (37%) preferred ibuprofen and 7 out of 54 (13%) paracetamol. Investigators preference (as established by joint tenderness, grip strength and joint circumference) was 17 out of 35 for diclofenac versus 5 out of 35 for paracetamol in another trial. However, because of the weaknessess in the trials, no firm conclusion can be drawn. When considering the trade off between the benefits and harms of non-steroidal anti-inflammatory drugs and paracetamol/acetaminophen, it is not known whether one is better than the other for rheumatoid arthritis. But people with rheumatoid arthritis and the researchers in the study did prefer non-steroidal anti-inflammatory drugs more than acetaminophen/paracetamol. There is a need for a large trial, with appropriate randomisation, double-blinding, test of the success of the blinding, and with explicit methods to measure and analyse pain and adverse effects.",2004,The Cochrane database of systematic reviews,"T Wienecke, P C Gøtzsche",Journal Article,Y
MED-24072615,MED,24072615,,10.1007/s10787-013-0189-1,Paracetamol (acetaminophen): a blessing or a hidden curse?,"This Journal has recently published a splendid review of all you need to know about paracetamol (Graham et al. 2013), an analgesic widely used in the long-term management of arthritis. It clearly presents the science and hard facts. This commentary, by contrast, discusses some aspects of the metapharmacology of paracetamol; particularly by asking questions of how we might extract more benefit and suffer less adverse reactions when using this analgesic in the context of non-transient inflammation. As both a drug and a toxin, paracetamol exemplifies how beneficial and/or deleterious responses may be conditioned by circumstances (disease stress, nutritional status, fasting, etc.).",2014,Inflammopharmacology,"M W Whitehouse, D E Butters",Journal Article,Y
MED-22404066,MED,22404066,,,Paracetamol in critical illness: a review.,"Paracetamol is one of the commonest medications used worldwide. This review was conceived as a consequence of evaluating the literature in the protocol development of two randomised, controlled clinical trials investigating the safety and efficacy of paracetamol in ICU patients (the HEAT [Permissive HyperthErmiA Through Avoidance of Paracetamol in Known or Suspected Infection in the Intensive Care Unit] study; the Paracetamol After traumatic Brain Injury [PARITY] Study). To provide a historical perspective on the introduction of paracetamol into clinical practice, to present the pharmacology of paracetamol in critical illness, and evaluate the current evidence for its use as an antipyretic and analgesic in intensive care. Literature searches were performed using keywords: ""paracetamol"", ""acetaminophen"", ""critical illness"", ""intensive care"", ""history"", ""pharmacology"", ""antipyre*"", ""analgesi*"", ""adverse effect*"", ""administration and dosage"", ""toxicity"", ""animals"" and ""humans"". Embase, MEDLINE, PubMed (1947/1950 to July 2011). The authors examined each article's title and abstract, fully reviewing relevant articles, with searching of reference lists and additional hand-searching. The most recent and highest quality available evidence was included. Limited data are available on the pharmacology of paracetamol in the critically ill. Among patients with sepsis, paracetamol may inhibit the immunological response. Among patients with neurological injury paracetamol can reduce temperature but appears not to improve outcome. When administered with opioids after major surgery, paracetamol does not reduce the incidence of pain or opioid related side-effects. Despite the widespread use of paracetamol in critical illness, there is a paucity of data supporting its utility in this setting. Further research is required to determine how paracetamol should be used in the critically ill.",2012,Critical care and resuscitation : journal of the Australasian Academy of Critical Care Medicine,"Sarah Jefferies, Manoj Saxena, Paul Young",Journal Article,Y
MED-26460177,MED,26460177,,10.1136/annrheumdis-2014-206914,Can paracetamol (acetaminophen) be administered to patients with liver impairment?,"Although 60 years have passed since it became widely available on the therapeutic market, paracetamol dosage in patients with liver disease remains a controversial subject. Fulminant hepatic failure has been a well documented consequence of paracetamol overdose since its introduction, while short and long term use have both been associated with elevation of liver transaminases, a surrogate marker for acute liver injury. From these reports it has been assumed that paracetamol use should be restricted or the dosage reduced in patients with chronic liver disease. We review the factors that have been purported to increase risk of hepatocellular injury from paracetamol and the pharmacokinetic alterations in different pathologies of chronic liver disease which may affect this risk. We postulate that inadvertent under-dosing may result in concentrations too low to enable efficacy. Specific research to improve the evidence base for prescribing paracetamol in patients with different aetiologies of chronic liver disease is needed.",2016,British journal of clinical pharmacology,"Kelly L Hayward, Elizabeth E Powell, Katharine M Irvine, Jennifer H Martin",Journal Article,Y
MED-11444723,MED,11444723,,10.2165/00002018-200124070-00003,Management of paracetamol overdose: current controversies.,"Paracetamol (acetaminophen) is one of the most frequently used analgesics, and is the most commonly used substance in self-poisoning in the US and UK. Paracetamol toxicity is manifested primarily in the liver. Treatment with N-acetyl-cysteine (NAC), if started within 10 hours from ingestion, can prevent hepatic damage in most cases. Pharmacokinetic data relating plasma paracetamol concentration to time after ingestion have been used to generate a 'probable hepatoxicity line' to predict which cases of paracetamol overdose will result in hepatotoxicity and should be treated with NAC. However, later studies use a 25% lower line as their 'possible hepatotoxicity line'. Although adopting the original line may save considerable resources, further studies are needed to determine whether such an approach is safe. On the basis of the metabolism of paracetamol, several risk factors for paracetamol toxicity have been proposed. These risk factors include long term alcohol (ethanol) ingestion, fasting and treatment with drugs that induce the cytochrome P450 2E1 enzyme system. Although some studies have suggested that these risk factors may be associated with worse prognosis, the data are inconclusive. However, until further evidence is available, we suggest that the lower line should be used when risk factors are present. In Canada and the UK, the intravenous regimen for NAC is used almost exclusively; in the US, an oral regimen is used. Both regimens have been shown to be effective. There is no large scale study with direct comparison between these 2 therapeutic protocols and controversy still exists as to which regimen is superior. During the last few years there has been an increase in the number of reports of liver failure associated with prolonged paracetamol administration for therapeutic reasons. The true incidence of this phenomenon is not known. We suggest testing liver enzyme levels if a child has received more than 75 mg/kg/day of paracetamol for more than 24 hours during febrile illness, and to treat with NAC when transaminase levels are elevated. Paracetamol overdose during pregnancy should be treated with either oral or intravenous NAC according to the regular protocols in order to prevent maternal, and potentially fetal, toxicity. Unless severe maternal toxicity develops, paracetamol overdose does not appear to increase the risk for adverse pregnancy outcome.",2001,Drug safety,"E Kozer, G Koren",Journal Article,Y
